SiteNo;Site;Location;Year;sowdate
40;Thessaloniki, Greece;GRTH;2009;19_Nov_2008
40;Thessaloniki, Greece;GRTH;2010;03_Dec_2009
41;Martonvasar, Hungary;HUMA;1981;15_Nov_1980
41;Martonvasar, Hungary;HUMA;1982;29_Nov_1981
41;Martonvasar, Hungary;HUMA;1983;15_Nov_1982
41;Martonvasar, Hungary;HUMA;1984;28_Nov_1983
41;Martonvasar, Hungary;HUMA;1985;18_Nov_1984
41;Martonvasar, Hungary;HUMA;1986;15_Nov_1985
41;Martonvasar, Hungary;HUMA;1987;16_Dec_1986
41;Martonvasar, Hungary;HUMA;1988;15_Nov_1987
41;Martonvasar, Hungary;HUMA;1989;26_Nov_1988
41;Martonvasar, Hungary;HUMA;1990;15_Jan_1990
41;Martonvasar, Hungary;HUMA;1991;25_Nov_1990
41;Martonvasar, Hungary;HUMA;1992;17_Nov_1991
41;Martonvasar, Hungary;HUMA;1993;18_Nov_1992
41;Martonvasar, Hungary;HUMA;1994;15_Nov_1993
41;Martonvasar, Hungary;HUMA;1995;15_Nov_1994
41;Martonvasar, Hungary;HUMA;1996;18_Nov_1995
41;Martonvasar, Hungary;HUMA;1997;21_Nov_1996
41;Martonvasar, Hungary;HUMA;1998;15_Nov_1997
41;Martonvasar, Hungary;HUMA;1999;15_Nov_1998
41;Martonvasar, Hungary;HUMA;2000;15_Nov_1999
41;Martonvasar, Hungary;HUMA;2001;27_Nov_2000
41;Martonvasar, Hungary;HUMA;2002;15_Nov_2001
41;Martonvasar, Hungary;HUMA;2003;03_Dec_2002
41;Martonvasar, Hungary;HUMA;2004;29_Nov_2003
41;Martonvasar, Hungary;HUMA;2005;15_Nov_2004
41;Martonvasar, Hungary;HUMA;2006;18_Nov_2005
41;Martonvasar, Hungary;HUMA;2007;15_Nov_2006
41;Martonvasar, Hungary;HUMA;2008;15_Nov_2007
41;Martonvasar, Hungary;HUMA;2009;25_Nov_2008
41;Martonvasar, Hungary;HUMA;2010;15_Nov_2009
42;Alexandria, Romania;ROAL;1981;21_Oct_1980
42;Alexandria, Romania;ROAL;1982;10_Nov_1981
42;Alexandria, Romania;ROAL;1983;07_Oct_1982
42;Alexandria, Romania;ROAL;1984;30_Nov_1983
42;Alexandria, Romania;ROAL;1985;19_Nov_1984
42;Alexandria, Romania;ROAL;1986;06_Nov_1985
42;Alexandria, Romania;ROAL;1987;18_Oct_1986
42;Alexandria, Romania;ROAL;1988;14_Oct_1987
42;Alexandria, Romania;ROAL;1989;07_Oct_1988
42;Alexandria, Romania;ROAL;1990;11_Oct_1989
42;Alexandria, Romania;ROAL;1991;02_Dec_1990
42;Alexandria, Romania;ROAL;1992;07_Oct_1991
42;Alexandria, Romania;ROAL;1993;15_Nov_1992
42;Alexandria, Romania;ROAL;1994;07_Oct_1993
42;Alexandria, Romania;ROAL;1995;07_Oct_1994
42;Alexandria, Romania;ROAL;1996;28_Oct_1995
42;Alexandria, Romania;ROAL;1997;21_Nov_1996
42;Alexandria, Romania;ROAL;1998;13_Oct_1997
42;Alexandria, Romania;ROAL;1999;07_Oct_1998
42;Alexandria, Romania;ROAL;2000;20_Oct_1999
42;Alexandria, Romania;ROAL;2001;29_Nov_2000
42;Alexandria, Romania;ROAL;2002;15_Nov_2001
42;Alexandria, Romania;ROAL;2003;08_Oct_2002
42;Alexandria, Romania;ROAL;2004;07_Oct_2003
42;Alexandria, Romania;ROAL;2005;10_Nov_2004
42;Alexandria, Romania;ROAL;2006;07_Oct_2005
42;Alexandria, Romania;ROAL;2007;07_Oct_2006
42;Alexandria, Romania;ROAL;2008;22_Oct_2007
42;Alexandria, Romania;ROAL;2009;07_Oct_2008
42;Alexandria, Romania;ROAL;2010;07_Oct_2009
43;Sadovo, Bulgaria;BUSA;1981;15_Oct_1980
43;Sadovo, Bulgaria;BUSA;1982;10_Nov_1981
43;Sadovo, Bulgaria;BUSA;1983;17_Nov_1982
43;Sadovo, Bulgaria;BUSA;1984;01_Dec_1983
43;Sadovo, Bulgaria;BUSA;1985;20_Nov_1984
43;Sadovo, Bulgaria;BUSA;1986;05_Nov_1985
43;Sadovo, Bulgaria;BUSA;1987;29_Oct_1986
43;Sadovo, Bulgaria;BUSA;1988;05_Nov_1987
43;Sadovo, Bulgaria;BUSA;1989;01_Nov_1988
43;Sadovo, Bulgaria;BUSA;1990;16_Oct_1989
43;Sadovo, Bulgaria;BUSA;1991;02_Dec_1990
43;Sadovo, Bulgaria;BUSA;1992;22_Oct_1991
43;Sadovo, Bulgaria;BUSA;1993;15_Oct_1992
43;Sadovo, Bulgaria;BUSA;1994;12_Nov_1993
43;Sadovo, Bulgaria;BUSA;1995;22_Oct_1994
43;Sadovo, Bulgaria;BUSA;1996;29_Oct_1995
43;Sadovo, Bulgaria;BUSA;1997;15_Oct_1996
43;Sadovo, Bulgaria;BUSA;1998;15_Oct_1997
43;Sadovo, Bulgaria;BUSA;1999;15_Oct_1998
43;Sadovo, Bulgaria;BUSA;2000;23_Oct_1999
43;Sadovo, Bulgaria;BUSA;2001;29_Nov_2000
43;Sadovo, Bulgaria;BUSA;2002;25_Nov_2001
43;Sadovo, Bulgaria;BUSA;2003;15_Oct_2002
43;Sadovo, Bulgaria;BUSA;2004;17_Oct_2003
43;Sadovo, Bulgaria;BUSA;2005;15_Oct_2004
43;Sadovo, Bulgaria;BUSA;2006;16_Oct_2005
43;Sadovo, Bulgaria;BUSA;2007;03_Nov_2006
43;Sadovo, Bulgaria;BUSA;2008;22_Oct_2007
43;Sadovo, Bulgaria;BUSA;2009;23_Nov_2008
43;Sadovo, Bulgaria;BUSA;2010;15_Oct_2009
44;Jokioinen, Finland;FIJO;1981;13_Jun_1981
44;Jokioinen, Finland;FIJO;1982;01_May_1982
44;Jokioinen, Finland;FIJO;1983;18_May_1983
44;Jokioinen, Finland;FIJO;1984;05_May_1984
44;Jokioinen, Finland;FIJO;1985;03_May_1985
44;Jokioinen, Finland;FIJO;1986;15_May_1986
44;Jokioinen, Finland;FIJO;1987;13_May_1987
44;Jokioinen, Finland;FIJO;1988;05_May_1988
44;Jokioinen, Finland;FIJO;1989;01_May_1989
44;Jokioinen, Finland;FIJO;1990;27_May_1990
44;Jokioinen, Finland;FIJO;1991;03_May_1991
44;Jokioinen, Finland;FIJO;1992;19_Jun_1992
44;Jokioinen, Finland;FIJO;1993;14_Jun_1993
44;Jokioinen, Finland;FIJO;1994;27_May_1994
44;Jokioinen, Finland;FIJO;1995;01_May_1995
44;Jokioinen, Finland;FIJO;1996;06_May_1996
44;Jokioinen, Finland;FIJO;1997;01_May_1997
44;Jokioinen, Finland;FIJO;1998;06_May_1998
44;Jokioinen, Finland;FIJO;1999;27_Jun_1999
44;Jokioinen, Finland;FIJO;2000;27_May_2000
44;Jokioinen, Finland;FIJO;2001;01_May_2001
44;Jokioinen, Finland;FIJO;2002;05_May_2002
44;Jokioinen, Finland;FIJO;2003;01_May_2003
44;Jokioinen, Finland;FIJO;2004;05_May_2004
44;Jokioinen, Finland;FIJO;2005;27_May_2005
44;Jokioinen, Finland;FIJO;2006;24_May_2006
44;Jokioinen, Finland;FIJO;2007;27_Jun_2007
44;Jokioinen, Finland;FIJO;2008;18_May_2008
44;Jokioinen, Finland;FIJO;2009;12_May_2009
44;Jokioinen, Finland;FIJO;2010;02_May_2010
45;Yershov, Russia;RUYE;1981;06_Jul_1981
45;Yershov, Russia;RUYE;1982;08_May_1982
45;Yershov, Russia;RUYE;1983;06_May_1983
45;Yershov, Russia;RUYE;1984;29_May_1984
45;Yershov, Russia;RUYE;1985;20_May_1985
45;Yershov, Russia;RUYE;1986;07_May_1986
45;Yershov, Russia;RUYE;1987;13_May_1987
45;Yershov, Russia;RUYE;1988;11_May_1988
45;Yershov, Russia;RUYE;1989;08_May_1989
45;Yershov, Russia;RUYE;1990;06_May_1990
45;Yershov, Russia;RUYE;1991;13_May_1991
45;Yershov, Russia;RUYE;1992;18_May_1992
45;Yershov, Russia;RUYE;1993;01_Jun_1993
45;Yershov, Russia;RUYE;1994;08_May_1994
45;Yershov, Russia;RUYE;1995;12_May_1995
45;Yershov, Russia;RUYE;1996;22_May_1996
45;Yershov, Russia;RUYE;1997;28_May_1997
45;Yershov, Russia;RUYE;1998;06_Jul_1998
45;Yershov, Russia;RUYE;1999;22_May_1999
45;Yershov, Russia;RUYE;2000;20_May_2000
45;Yershov, Russia;RUYE;2001;07_May_2001
45;Yershov, Russia;RUYE;2002;18_Jun_2002
45;Yershov, Russia;RUYE;2003;10_Jun_2003
45;Yershov, Russia;RUYE;2004;23_May_2004
45;Yershov, Russia;RUYE;2005;06_May_2005
45;Yershov, Russia;RUYE;2006;27_May_2006
45;Yershov, Russia;RUYE;2007;07_May_2007
45;Yershov, Russia;RUYE;2008;28_May_2008
45;Yershov, Russia;RUYE;2009;10_May_2009
45;Yershov, Russia;RUYE;2010;06_Jul_2010
46;Altbasar, Kazakhstan;KZAL;1981;10_Apr_1981
46;Altbasar, Kazakhstan;KZAL;1982;04_Apr_1982
46;Altbasar, Kazakhstan;KZAL;1983;15_Mar_1983
46;Altbasar, Kazakhstan;KZAL;1984;06_May_1984
46;Altbasar, Kazakhstan;KZAL;1985;17_Apr_1985
46;Altbasar, Kazakhstan;KZAL;1986;09_May_1986
46;Altbasar, Kazakhstan;KZAL;1987;22_Apr_1987
46;Altbasar, Kazakhstan;KZAL;1988;03_May_1988
46;Altbasar, Kazakhstan;KZAL;1989;27_Mar_1989
46;Altbasar, Kazakhstan;KZAL;1990;16_Mar_1990
46;Altbasar, Kazakhstan;KZAL;1991;15_May_1991
46;Altbasar, Kazakhstan;KZAL;1992;15_May_1992
46;Altbasar, Kazakhstan;KZAL;1993;29_Mar_1993
46;Altbasar, Kazakhstan;KZAL;1994;01_Apr_1994
46;Altbasar, Kazakhstan;KZAL;1995;09_May_1995
46;Altbasar, Kazakhstan;KZAL;1996;26_Apr_1996
46;Altbasar, Kazakhstan;KZAL;1997;06_May_1997
46;Altbasar, Kazakhstan;KZAL;1998;14_Apr_1998
46;Altbasar, Kazakhstan;KZAL;1999;07_May_1999
46;Altbasar, Kazakhstan;KZAL;2000;15_May_2000
46;Altbasar, Kazakhstan;KZAL;2001;30_Mar_2001
46;Altbasar, Kazakhstan;KZAL;2002;07_May_2002
46;Altbasar, Kazakhstan;KZAL;2003;15_May_2003
46;Altbasar, Kazakhstan;KZAL;2004;15_May_2004
46;Altbasar, Kazakhstan;KZAL;2005;22_Mar_2005
46;Altbasar, Kazakhstan;KZAL;2006;28_Apr_2006
46;Altbasar, Kazakhstan;KZAL;2007;18_Apr_2007
46;Altbasar, Kazakhstan;KZAL;2008;15_Mar_2008
46;Altbasar, Kazakhstan;KZAL;2009;15_May_2009
46;Altbasar, Kazakhstan;KZAL;2010;18_Mar_2010
47;Samarkand, Uzbekistan;UZSA;1981;14_Dec_1980
47;Samarkand, Uzbekistan;UZSA;1982;24_Nov_1981
47;Samarkand, Uzbekistan;UZSA;1983;11_Nov_1982
47;Samarkand, Uzbekistan;UZSA;1984;06_Nov_1983
47;Samarkand, Uzbekistan;UZSA;1985;17_Nov_1984
47;Samarkand, Uzbekistan;UZSA;1986;07_Dec_1985
47;Samarkand, Uzbekistan;UZSA;1987;03_Dec_1986
47;Samarkand, Uzbekistan;UZSA;1988;29_Dec_1987
47;Samarkand, Uzbekistan;UZSA;1989;20_Dec_1988
47;Samarkand, Uzbekistan;UZSA;1990;08_Nov_1989
47;Samarkand, Uzbekistan;UZSA;1991;13_Dec_1990
47;Samarkand, Uzbekistan;UZSA;1992;21_Nov_1991
47;Samarkand, Uzbekistan;UZSA;1993;09_Dec_1992
47;Samarkand, Uzbekistan;UZSA;1994;05_Nov_1993
47;Samarkand, Uzbekistan;UZSA;1995;11_Nov_1994
47;Samarkand, Uzbekistan;UZSA;1996;11_Dec_1995
47;Samarkand, Uzbekistan;UZSA;1997;14_Nov_1996
47;Samarkand, Uzbekistan;UZSA;1998;05_Nov_1997
47;Samarkand, Uzbekistan;UZSA;1999;30_Nov_1998
47;Samarkand, Uzbekistan;UZSA;2000;05_Nov_1999
47;Samarkand, Uzbekistan;UZSA;2001;08_Nov_2000
47;Samarkand, Uzbekistan;UZSA;2002;05_Nov_2001
47;Samarkand, Uzbekistan;UZSA;2003;17_Nov_2002
47;Samarkand, Uzbekistan;UZSA;2004;05_Nov_2003
47;Samarkand, Uzbekistan;UZSA;2005;20_Nov_2004
47;Samarkand, Uzbekistan;UZSA;2006;10_Nov_2005
47;Samarkand, Uzbekistan;UZSA;2007;10_Nov_2006
47;Samarkand, Uzbekistan;UZSA;2008;01_Dec_2007
47;Samarkand, Uzbekistan;UZSA;2009;08_Nov_2008
47;Samarkand, Uzbekistan;UZSA;2010;24_Nov_2009
48;Sidi El Aydi, Morocco;MASI;1981;05_Nov_1980
48;Sidi El Aydi, Morocco;MASI;1982;08_Dec_1981
48;Sidi El Aydi, Morocco;MASI;1983;09_Nov_1982
48;Sidi El Aydi, Morocco;MASI;1984;17_Nov_1983
48;Sidi El Aydi, Morocco;MASI;1985;06_Nov_1984
48;Sidi El Aydi, Morocco;MASI;1986;21_Nov_1985
48;Sidi El Aydi, Morocco;MASI;1987;15_Nov_1986
48;Sidi El Aydi, Morocco;MASI;1988;05_Nov_1987
48;Sidi El Aydi, Morocco;MASI;1989;12_Nov_1988
48;Sidi El Aydi, Morocco;MASI;1990;17_Nov_1989
48;Sidi El Aydi, Morocco;MASI;1991;27_Nov_1990
48;Sidi El Aydi, Morocco;MASI;1992;02_Dec_1991
48;Sidi El Aydi, Morocco;MASI;1993;17_Nov_1992
48;Sidi El Aydi, Morocco;MASI;1994;05_Nov_1993
48;Sidi El Aydi, Morocco;MASI;1995;05_Nov_1994
48;Sidi El Aydi, Morocco;MASI;1996;13_Nov_1995
48;Sidi El Aydi, Morocco;MASI;1997;14_Nov_1996
48;Sidi El Aydi, Morocco;MASI;1998;07_Nov_1997
48;Sidi El Aydi, Morocco;MASI;1999;04_Dec_1998
48;Sidi El Aydi, Morocco;MASI;2000;15_Nov_1999
48;Sidi El Aydi, Morocco;MASI;2001;16_Nov_2000
48;Sidi El Aydi, Morocco;MASI;2002;11_Nov_2001
48;Sidi El Aydi, Morocco;MASI;2003;15_Nov_2002
48;Sidi El Aydi, Morocco;MASI;2004;05_Nov_2003
48;Sidi El Aydi, Morocco;MASI;2005;12_Nov_2004
48;Sidi El Aydi, Morocco;MASI;2006;14_Nov_2005
48;Sidi El Aydi, Morocco;MASI;2007;17_Nov_2006
48;Sidi El Aydi, Morocco;MASI;2008;22_Nov_2007
48;Sidi El Aydi, Morocco;MASI;2009;05_Nov_2008
48;Sidi El Aydi, Morocco;MASI;2010;01_Dec_2009
49;Nabeul, Tunisia;TUNA;1981;01_Dec_1980
49;Nabeul, Tunisia;TUNA;1982;01_Dec_1981
49;Nabeul, Tunisia;TUNA;1983;01_Dec_1982
49;Nabeul, Tunisia;TUNA;1984;03_Dec_1983
49;Nabeul, Tunisia;TUNA;1985;03_Dec_1984
49;Nabeul, Tunisia;TUNA;1986;05_Jan_1986
49;Nabeul, Tunisia;TUNA;1987;13_Dec_1986
49;Nabeul, Tunisia;TUNA;1988;02_Dec_1987
49;Nabeul, Tunisia;TUNA;1989;10_Dec_1988
49;Nabeul, Tunisia;TUNA;1990;01_Dec_1989
49;Nabeul, Tunisia;TUNA;1991;03_Dec_1990
49;Nabeul, Tunisia;TUNA;1992;04_Dec_1991
49;Nabeul, Tunisia;TUNA;1993;11_Dec_1992
49;Nabeul, Tunisia;TUNA;1994;01_Dec_1993
49;Nabeul, Tunisia;TUNA;1995;23_Dec_1994
49;Nabeul, Tunisia;TUNA;1996;01_Dec_1995
49;Nabeul, Tunisia;TUNA;1997;02_Dec_1996
49;Nabeul, Tunisia;TUNA;1998;01_Dec_1997
49;Nabeul, Tunisia;TUNA;1999;01_Dec_1998
49;Nabeul, Tunisia;TUNA;2000;01_Dec_1999
49;Nabeul, Tunisia;TUNA;2001;04_Dec_2000
49;Nabeul, Tunisia;TUNA;2002;02_Dec_2001
49;Nabeul, Tunisia;TUNA;2003;01_Dec_2002
49;Nabeul, Tunisia;TUNA;2004;01_Dec_2003
49;Nabeul, Tunisia;TUNA;2005;09_Dec_2004
49;Nabeul, Tunisia;TUNA;2006;11_Dec_2005
49;Nabeul, Tunisia;TUNA;2007;01_Dec_2006
49;Nabeul, Tunisia;TUNA;2008;11_Dec_2007
49;Nabeul, Tunisia;TUNA;2009;19_Dec_2008
49;Nabeul, Tunisia;TUNA;2010;03_Dec_2009
50;Tel Hadya/Aleppo, Syria;SYTH;1981;22_Nov_1980
50;Tel Hadya/Aleppo, Syria;SYTH;1982;20_Nov_1981
50;Tel Hadya/Aleppo, Syria;SYTH;1983;06_Dec_1982
50;Tel Hadya/Aleppo, Syria;SYTH;1984;20_Nov_1983
50;Tel Hadya/Aleppo, Syria;SYTH;1985;20_Nov_1984
50;Tel Hadya/Aleppo, Syria;SYTH;1986;27_Nov_1985
50;Tel Hadya/Aleppo, Syria;SYTH;1987;20_Dec_1986
50;Tel Hadya/Aleppo, Syria;SYTH;1988;09_Dec_1987
50;Tel Hadya/Aleppo, Syria;SYTH;1989;20_Nov_1988
50;Tel Hadya/Aleppo, Syria;SYTH;1990;20_Nov_1989
50;Tel Hadya/Aleppo, Syria;SYTH;1991;05_Dec_1990
50;Tel Hadya/Aleppo, Syria;SYTH;1992;20_Nov_1991
50;Tel Hadya/Aleppo, Syria;SYTH;1993;20_Nov_1992
50;Tel Hadya/Aleppo, Syria;SYTH;1994;20_Nov_1993
50;Tel Hadya/Aleppo, Syria;SYTH;1995;20_Nov_1994
50;Tel Hadya/Aleppo, Syria;SYTH;1996;22_Nov_1995
50;Tel Hadya/Aleppo, Syria;SYTH;1997;22_Nov_1996
50;Tel Hadya/Aleppo, Syria;SYTH;1998;20_Nov_1997
50;Tel Hadya/Aleppo, Syria;SYTH;1999;20_Nov_1998
